source,target,edge_type
2438308f1af46d4f3d3ff5c7e5b15348f5ae8826,0096736824c6ba479dc6c25f3f905585c981fddb,citation
84607318af8e7d4b797548fb410d7fe0a48d856f,0096736824c6ba479dc6c25f3f905585c981fddb,citation
1d65f15f7ec07f403e971b6f39907c75d935a5ff,0096736824c6ba479dc6c25f3f905585c981fddb,citation
7f8212dacad53fb4b3711e72e0b820fd7467e65a,0096736824c6ba479dc6c25f3f905585c981fddb,citation
8064aa3a1ac5cd44de3187649bc23e22813946fe,0096736824c6ba479dc6c25f3f905585c981fddb,citation
30e4b280a2a70e7932c102ee635b4b8d9e2280bc,0096736824c6ba479dc6c25f3f905585c981fddb,citation
24f0c64fd35c2c22f3161b517fa822777234951d,0096736824c6ba479dc6c25f3f905585c981fddb,citation
d01fe208cc0d1cb34c18c96470289b4709c57081,0096736824c6ba479dc6c25f3f905585c981fddb,citation
7e29f122893115bc7b95dd786860122b3b119da1,0096736824c6ba479dc6c25f3f905585c981fddb,citation
18c5e203dd681ab0e17d16b6ecf2f1aea2dde5c2,0096736824c6ba479dc6c25f3f905585c981fddb,citation
f517817c70e7ca63c2bb23a17a34be0c92c2f5aa,0096736824c6ba479dc6c25f3f905585c981fddb,citation
ae0b555064ae44fed01bc76351ec6b68c14eaa96,0096736824c6ba479dc6c25f3f905585c981fddb,citation
4d39122de24f5ed9d64b29ae2000de222fc47022,0096736824c6ba479dc6c25f3f905585c981fddb,citation
412d08deaa62f150b90bb116ee59d278e7d87262,0096736824c6ba479dc6c25f3f905585c981fddb,citation
a02bb50bd2145ddb88212879e50602c28462b00e,0096736824c6ba479dc6c25f3f905585c981fddb,citation
ff37597d83d520f56974c74291f734fa3c83668a,0096736824c6ba479dc6c25f3f905585c981fddb,citation
cb20072ffc8e4c5de6b38a8523379be49b46fd4a,0096736824c6ba479dc6c25f3f905585c981fddb,citation
8fda9ba20a3178d32a6a96e96086613f7fff0a25,0096736824c6ba479dc6c25f3f905585c981fddb,citation
8f3155e8b3ae871997cbfeb3d04184500c5d8b10,0096736824c6ba479dc6c25f3f905585c981fddb,citation
400c4debb06e2ca156ae1c18ec622426135ae480,0096736824c6ba479dc6c25f3f905585c981fddb,citation
6f436774da41e32e975cc26fa28a12cf3c958ab6,0096736824c6ba479dc6c25f3f905585c981fddb,citation
d438f9d39ad26c124a437fbf2bdf302822cad848,0096736824c6ba479dc6c25f3f905585c981fddb,citation
704e2bdcab4fc31f46704f7936603b5ef2c7e820,0096736824c6ba479dc6c25f3f905585c981fddb,citation
a5ace4a81c2796f5325f712ec2151f2755f32101,0096736824c6ba479dc6c25f3f905585c981fddb,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,9b25841c04a8decfd3105cb8dfa59c4d1e3c4963,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,6da2b1e85854f7e8539a1013209de41976882432,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,b45c49d1e10911bda4b056968df31ec6b3dafc41,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,2734b3cd9e4529a594a2e1cb101c853b8163339a,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,caa40f9bf1c54b8b5e1f19227729a8b563a2278b,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,f6e0856b4a9199fa968ac00da612a9407b5cb85c,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,b850476ec09aaad28bbd9a8c7ba81bee716d594d,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,31f9eb39d840821979e5df9f34a6e92dd9c879f2,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,6364fdaa0a0eccd823a779fcdd489173f938e91a,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,6480382481204e291d687efaecfd9f8cfc92f1f9,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,f30abf3bd6ba26663ccf209be34e13c0e2a4d4c2,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,d2c733e34d48784a37d717fe43d9e93277a8c53e,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,3d7173583b5e5bbcd06dc70dd66464f9f95604f4,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,621bfa48590eb674538cf528754941b62f4b1749,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,f8e0e690256b1a7e752f4d10c4f615f8e87cb469,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,5e6b2255d5b7565d11e71e980b1ca141aeb3391d,citation
00a01bf59871e8a25abfc9647d952a75d8b6bff5,1c46943103bd7b7a2c7be86859995a4144d1938b,citation
4fef901d48c1fb92eaa849f1eccd6cf08c3ded4d,00a01bf59871e8a25abfc9647d952a75d8b6bff5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,7b1a06e65d21323dafd099143d86802520abccf0,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,dec1eaeb9a70993ea01b4c81cb5a44f454e03961,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,bd2c76edc992450251dee58b831392965c3f5020,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,816368967365895a1af42309bf3895b0fbcecb42,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,92d0abf5a595f9800dc576febc44449deaaae33a,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,8e453cde20bc1cc3486f43b46b6fbab93cda9959,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,2734b3cd9e4529a594a2e1cb101c853b8163339a,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,053084c0d02df0902c94aee5458db6ec372eb607,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,11473c935b2e09f8c209a9c95b227bdb81e59ccd,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,9e41cbe6ae16fc554f535fce713a76085ccfbdf5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,315c4ceb18f156c42a8da823ef81dc6658694a8e,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,203ad16a3b5b6cecdca066bcbc0cdb3a9d4be92f,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,a0d59315b5ef368b429142b1bcad88d7f0b6aa81,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,e6a3b2be8644f9a81f36c46380ca83ae1477297f,citation
