author_1,author_2,weight
1821358,6366502,1
1821358,33576105,1
1821358,2031846,1
1821358,2295629,1
1821358,7286041,1
1821358,2237882,2
1821358,1854466,1
1821358,5097096,1
1821358,40298170,1
1821358,2113403593,1
1821358,5375181,1
1821358,40031741,2
1821358,6854245,1
1821358,145693873,1
1821358,2781726,1
1821358,145262656,1
1821358,2231343,1
1821358,144091182,2
1821358,2289028332,1
1821358,2054969612,1
1821358,2311866261,1
1821358,2111506446,1
1821358,148010530,1
1821358,2326650737,1
1821358,119240391,1
1821358,2286368906,1
1821358,2161627407,1
1821358,2394065786,1
1821358,2394065559,1
1821358,2276614422,1
1821358,2394065782,1
1821358,153154117,1
1821358,2394065527,1
1821358,2394065799,1
1821358,2342718886,2
1821358,3055788,1
1821358,2239137589,1
1821358,2247928279,1
1821358,2362936066,1
1821358,2356866868,1
1821358,2105789579,1
2110508990,2248256697,1
2110508990,4336015,1
2110508990,2249974827,1
2110508990,1978940,1
2248256697,4336015,1
2248256697,2249974827,1
2248256697,1978940,1
4336015,2249974827,1
4336015,1978940,3
4336015,15168128,1
4336015,3735394,1
4336015,3049675,1
4336015,2239074199,1
2249974827,1978940,1
1978940,2248085472,1
1978940,2256047985,1
1978940,2237520147,1
1978940,5927412,3
1978940,2243280173,1
1978940,47793294,1
1978940,2348363468,1
1978940,2248401217,1
1978940,2242996095,1
1978940,2082247627,1
1978940,48048821,1
1978940,2256119796,1
1978940,1411352241,1
1978940,1730544,1
1978940,3469308,1
1978940,1697944,1
1978940,2108382440,1
1978940,144479219,1
1978940,144036645,1
1978940,3807831,2
1978940,1846140,2
1978940,21286469,3
1978940,145120201,3
1978940,47133777,1
1978940,144436732,2
1978940,152750770,1
1978940,10055492,1
1978940,143943612,1
1978940,144684495,1
1978940,15168128,1
1978940,3735394,1
1978940,3049675,1
1978940,2142511,1
1978940,2812877,2
1978940,49998161,1
1978940,35571193,1
1978940,1997979,1
1978940,144922222,1
1978940,2495450,1
1978940,1781137,1
1978940,2004120,1
1978940,40364290,1
1978940,4323453,1
1978940,2274207,1
