reason,kept_paper_id,merged_paper_id,title
exact_title_first_author_year_preprint_final,6bf34123eb168ced86a21537370a149461cdd430,e1c3e9252feda89428e465db9cda1426a3451145,"Spectral graph model for fMRI: A biophysical, connectivity-based generative model for the analysis of frequency-resolved resting-state fMRI"
exact_title_first_author_year_preprint_final,b938e9c585ad8a1f67dbf0963d8ea43f90a9c7af,184eacff376dfd1bb1525aa57fdade9db7595cd9,Geometry and Structural Plasticity of Synaptic Connectivity
exact_title_first_author_year_preprint_final,6a8e7315c989775c8c8c88efb835498dc2b02982,9c8bd144d91685ccdab06d3f122d46446417b361,Regression and alignment for functional data and network topology.
exact_title_first_author_year_preprint_final,444387e9c4ec1b6d52535cb42e2209e1912772a5,ac2734865c47e8385a43ca1d58e233bdae84d4e8,"Big Data, Small Bias: Harmonizing Diffusion MRI‐Based Structural Connectomes to Mitigate Site‐Related Bias in Data Integration"
exact_title_first_author_year_preprint_final,6f9b6825d33a8fe321e69ca6091efb2ab2c97e00,db90b3a9cf0be5b2bd7948847da325ffe52eb5ec,Psychoradiological patterns of small-world properties and a systematic review of connectome studies of patients with 6 major psychiatric disorders.
exact_title_first_author_year_preprint_final,1e8aeb006cd0e195b65bb1b36d982ae83460ba09,968e9457f7b1cc3511efba6a9a6c91bff6182e7a,CURVATURE-BASED MACHINE LEARNING METHOD FOR AUTOMATED SEGMENTATION OF DENDRITIC SPINES
exact_title_first_author_year_preprint_final,e47b33aedee95d41df00568bf8cecb533d0cd9b2,29348eaa3cb7eea6e5e8a3ce3c1f8811a72cb55e,Differential temporal filtering in the fly optic lobe
exact_title_first_author_year_preprint_final,b4663e35f760cf0aa8077c3bbdd6e1449fbbcadd,a6bcb56e6879d2d36ae8cbd2e9aa12bc9bcb0f1c,Pre-Training for Large-Scale Functional Connectome Fingerprinting Supports Generalization and Transfer Learning in Functional Neuroimaging.
exact_title_first_author_year_preprint_final,ac68be304f2fa9a7ea8c68771a35e7b9ca1765fe,5d50f542241d2d01b54e8929eef4f5f437fd515a,"Evaluation of Mean Shift, ComBat, and CycleGAN for Harmonizing Brain Connectivity Matrices Across Sites"
exact_title_first_author_year_preprint_final,2ad0b4e207a1e2ef9847e92abfdd82ee6566e8d4,e68b37d12634da3eef0a4cdb1fec37566083fb05,Translating phenotypic prediction models from big to small anatomical MRI data using meta-matching
exact_title_first_author_year_preprint_final,5407855bacf1b6297a1f6239f520a68489e94533,8d757b5ff7ad142e29a983ac49cebe2f1e84a1d9,An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment
exact_title_first_author_year_preprint_final,be364e55460008d9584e163bff599784f242e851,3f2de27f297fd223f8c7aa6d1ea6889a5a188b4f,Distributed control circuits across a brain-and-cord connectome.
exact_title_first_author_year_preprint_final,dfe535b6db758d3fed6c123fb260fa1306c0128f,868a0b6bd73ee9f95970a3929f210fb27c92caad,Relative Strength Variability Measures for Brain Structural Connectomes and Their Relationship With Cognitive Functioning
