paper_id,author_id,author_name,position,n_authors
f9d50f0971821211b245d9c89757c4acaaf56fb1,4072373,Erik B. Bloss,2,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,2430265,T. Stasevich,3,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,6969954,C. M. Speer,4,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,4469690,Aljoscha Nern,5,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,34734322,B. Pfeiffer,6,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,6901940,Bryan M. Hooks,7,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,2154937672,Wei-Ping Li,8,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,47641548,Brian P. English,9,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,4078995,Teresa Tian,10,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,39211769,G. L. Henry,11,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,40634144,J. Macklin,12,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,29896934,Ronak Patel,13,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,3461712,C. Gerfen,14,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,1837985,X. Zhuang,15,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,49415638,Yalin Wang,16,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,34660241,G. Rubin,17,19
f9d50f0971821211b245d9c89757c4acaaf56fb1,3595515,L. Looger,18,19
3f81d3f956b68c5d623b394d242266a0e196700d,2075375269,Fuping Sun,0,6
3f81d3f956b68c5d623b394d242266a0e196700d,2148957137,Feiwen Wang,1,6
3f81d3f956b68c5d623b394d242266a0e196700d,2109105214,Zhening Liu,2,6
3f81d3f956b68c5d623b394d242266a0e196700d,2302940489,Maoxing Zhong,3,6
3f81d3f956b68c5d623b394d242266a0e196700d,2339221862,Jun Yang,4,6
3f81d3f956b68c5d623b394d242266a0e196700d,2302866330,Jie Yang,5,6
3b596184fb40dbc3e263b32e60f4c56e2a625971,2301248146,Yicong Li,0,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2276582939,Wanhua Li,1,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2292680977,Qi Chen,2,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2256944623,Wei Huang,3,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2274907072,Yuda Zou,4,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2303501157,Xin Xiao,5,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,5916854,Kazunori Shinomiya,6,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2243280173,Pat Gunn,7,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2204175975,Nishika Gupta,8,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,5927412,A. Polilov,9,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2273772000,Yongchao Xu,10,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2145912767,Yueyi Zhang,11,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2248084109,Zhiwei Xiong,12,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2243182075,Hanspeter Pfister,13,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,1766333,D. Wei,14,16
3b596184fb40dbc3e263b32e60f4c56e2a625971,2281389294,Jingpeng Wu,15,16
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,46819355,Salvatore Bertino,0,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,4987412,A. Cacciola,1,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,6606228,G. Basile,2,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,153478801,G. Santoro,3,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,114762803,M. Righi,4,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,4202085,D. Bruschetta,5,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,34188712,G. Vermiglio,6,8
d971e7beae6a2a95b1c7f24d30dfe64d35cf9052,4613090,G. Cutroneo,7,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,153741520,R. Harrison,0,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,49535074,B. Tan,1,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,20917237,H. Tan,2,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,151479408,L. Tan,3,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,8649287,M. Lim,4,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,51396314,C. Yong,5,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,48059337,J. Kuo,6,8
33a51282506e5ce94f3405ee79cbbfdb28a5d242,10087073,S. Kesler,7,8
8a5cc8dfac9126ef68e00052ea834e34693c0fcd,2391831,S. W. Emmons,0,1
84ef72400bb7202476cf4874418df708b7cec3e5,1397951928,Klaus Hermann Maier-Hein,0,77
84ef72400bb7202476cf4874418df708b7cec3e5,2388315,P. Neher,1,77
84ef72400bb7202476cf4874418df708b7cec3e5,37525982,Jean-Christophe Houde,2,77
84ef72400bb7202476cf4874418df708b7cec3e5,40638665,Marc-Alexandre Côté,3,77
84ef72400bb7202476cf4874418df708b7cec3e5,2611339,E. Garyfallidis,4,77
84ef72400bb7202476cf4874418df708b7cec3e5,3012354,Jidan Zhong,5,77
84ef72400bb7202476cf4874418df708b7cec3e5,145457987,M. Chamberland,6,77
84ef72400bb7202476cf4874418df708b7cec3e5,2052300,F. Yeh,7,77
84ef72400bb7202476cf4874418df708b7cec3e5,2033131,Ying-Chia Lin,8,77
84ef72400bb7202476cf4874418df708b7cec3e5,144116888,Q. Ji,9,77
84ef72400bb7202476cf4874418df708b7cec3e5,2613811,W. Reddick,10,77
84ef72400bb7202476cf4874418df708b7cec3e5,2276583,J. Glass,11,77
84ef72400bb7202476cf4874418df708b7cec3e5,144424625,D. Chen,12,77
84ef72400bb7202476cf4874418df708b7cec3e5,3156839,Yuanjing Feng,13,77
