work_id,canonical_paper_id,source_group,year,venue,doi,title,publication_types,has_abstract,abstract_chars,record_type,is_research_paper,confidence,signal_count,evidence,title_rule,title_rule_type,title_rule_strength,title_match,publication_type_signal,publication_type_signal_type,publication_type_signal_strength,vetoed_publication_type_signals,research_publication_types,signals_conflict,watchlist_titles,review_queue,review_reasons
work_c2251347a98f6961,73e22150332acd1fb01ef6a08515e22054ea32b3,unresolved,2023.0,,,Perspective Chapter: Functional Human Brain Connectome in Deep Brain Stimulation (DBS) for Parkinson’s Disease (PD),Review,False,0,book_or_chapter,False,low,1,title_rule:perspective_chapter='Perspective Chapter'; research_publication_type:Review,perspective_chapter,book_or_chapter,suggestive,Perspective Chapter,,,,,Review,True,,True,unconfirmed_nonpaper_low_confidence;signal_conflict
work_c2e6be882c6293de,7f5da24c868331d26d445f4db9c09807d830b0d5,unresolved,2020.0,Quantitative Imaging in Medicine and Surgery,10.21037/qims-20-554,Stability and plasticity of functional brain networks after hemispherectomy: implications for consciousness research.,LettersAndComments;Editorial,True,2635,editorial_commentary,False,medium,1,publication_type:Editorial(strong); weak_publication_type:LettersAndComments,,,,,Editorial,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence;nonpaper_with_substantial_abstract
work_c7040986681b0037,c186d81efab84c7d7a08c37c173a267cd1f5ddc9,unresolved,2016.0,,,Supplement to : Optimally controlling the human connectome : the role of network topology,,False,0,research_paper,True,medium,0,watchlist_title:supplement,,,,,,,,,,False,supplement,True,watchlist_title
work_d1744737290f5238,408e82279f0bc1f560a1cd2b62f1cd829db50fbf,unresolved,2019.0,Nature Communications,10.1038/s41467-019-12867-2,Author Correction: The challenge of mapping the human connectome based on diffusion tractography,,True,101,erratum_correction,False,medium,1,title_rule:named_correction='Author Correction',named_correction,erratum_correction,unambiguous,Author Correction,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_d5ad5ca1e8b7dce0,8949a7ea5fd93c12ea10227a81d6afa157726dd2,unresolved,2014.0,Brain Imaging and Behavior,10.1007/s11682-014-9315-y,On the Changing Roles of Neuroimaging in Rehabilitation Science,Editorial;Review,True,5500,research_paper,True,medium,0,vetoed_publication_type:Editorial; research_publication_type:Review,,,,,,,,Editorial,Review,True,,True,vetoed_nonpaper_signal_kept_as_paper
work_e2ae1abc294095e6,34ac49c129ea2ca239ba7989e8d31665aa8990d6,core_audit,2008.0,PLoS Biology,10.1371/journal.pbio.0060164,From Structure to Function: Mapping the Connection Matrix of the Human Brain,JournalArticle;LettersAndComments,True,5888,research_paper,True,medium,0,weak_publication_type:LettersAndComments,,,,,,,,,,False,,True,weak_nonpaper_signal_kept_as_paper
work_e47b5df65b344c69,5cdf2403194fc372af518f119585f937695d2a41,core_audit,2017.0,,10.7554/elife.26414.042,"Author response: SynEM, automated synapse detection for connectomics",,False,0,peer_review_report,False,medium,1,title_rule:author_response='Author response:',author_response,peer_review_report,unambiguous,Author response:,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_e75bb913a1bb3e89,6607fcde4722c4e68823f6c9870e6bcfac95aedf,core_audit,2025.0,Nature Methods,10.1038/s41592-025-02988-6,Method of the Year 2025: electron microscopy-based connectomics,JournalArticle;Editorial,False,0,editorial_commentary,False,medium,1,publication_type:Editorial(strong),,,,,Editorial,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_e970ae065dc09da2,ea2f9f8b29cef127e76bf61411ef8cb3435ed2d3,unresolved,2023.0,Stroke,10.1161/str.54.suppl_1.7,Abstract 7: Prediction Of Post-stroke Motor Recovery Benefits From Measures Of Sub-acute Widespread Network Damages,,True,1977,conference_abstract,False,medium,1,title_rule:numbered_abstract='Abstract 7:',numbered_abstract,conference_abstract,unambiguous,Abstract 7:,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence;nonpaper_with_substantial_abstract
work_ed733afc84891fc7,63a075f3b84b2214b70252ddd8710dbd0e2bb0b3,core_audit,2013.0,,,Special Issue: The Connectome - Feature Review,Review,False,0,research_paper,True,medium,0,research_publication_type:Review; watchlist_title:special_issue,,,,,,,,,Review,False,special_issue,True,watchlist_title
work_ee2f271e54e25390,220a17b2869cd4bb1dd42d2adca7b172503df3f0,unresolved,2019.0,Frontiers in Neuroscience,10.3389/fnins.2019.00936,"Proceedings of the Sixth Deep Brain Stimulation Think Tank Modulation of Brain Networks and Application of Advanced Neuroimaging, Neurophysiology, and Optogenetics",JournalArticle;Review,True,1418,research_paper,True,medium,0,research_publication_type:Review; watchlist_title:proceedings_mention,,,,,,,,,Review,False,proceedings_mention,True,watchlist_title
work_f27f20d5a5121194,377e571153bc8d6743b3dc4d800953f9a48e185c,core_audit,2011.0,Neural Systems & Circuits,10.1186/2042-1001-1-16,Q&A: What is the Open Connectome Project?,JournalArticle,True,1171,editorial_commentary,False,medium,1,title_rule:qa_interview='Q&A',qa_interview,editorial_commentary,suggestive,Q&A,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
