author_a,author_b,shared_works,weight
person:d kapner,person:h sebastian seung,11,11
person:d kapner,person:n da costa,11,11
person:marc takeno,person:s kinn,11,11
person:s kinn,person:sven dorkenwald,11,11
person:akhilesh halageri,person:s kinn,11,11
person:s kinn,person:zhi ming jia,11,11
person:c jordan,person:s kinn,11,11
person:n kemnitz,person:s kinn,11,11
person:kea joo lee,person:s kinn,11,11
person:kai li,person:s kinn,11,11
person:rongwen lu,person:s kinn,11,11
person:s kinn,person:t macrina,11,11
person:eric mitchell,person:s kinn,11,11
person:s kinn,person:s mondal,11,11
person:s kinn,person:shang mu,11,11
person:barak nehoran,person:s kinn,11,11
person:s kinn,person:s popovych,11,11
person:s kinn,person:w silversmith,11,11
person:n turner,person:s kinn,11,11
person:s kinn,person:w wong,11,11
person:jingpeng wu,person:s kinn,11,11
person:h sebastian seung,person:s kinn,11,11
person:r clay reid,person:s kinn,11,11
person:g mahalingam,person:m castro,11,11
person:akhilesh halageri,person:g mahalingam,11,11
person:g mahalingam,person:zhi ming jia,11,11
person:g mahalingam,person:kai li,11,11
person:eric mitchell,person:g mahalingam,11,11
person:g mahalingam,person:s mondal,11,11
person:g mahalingam,person:shang mu,11,11
person:barak nehoran,person:g mahalingam,11,11
person:marc takeno,person:sven dorkenwald,11,11
person:c jordan,person:marc takeno,11,11
person:marc takeno,person:n kemnitz,11,11
person:kea joo lee,person:marc takeno,11,11
person:marc takeno,person:rongwen lu,11,11
person:marc takeno,person:t macrina,11,11
person:marc takeno,person:s popovych,11,11
person:marc takeno,person:w silversmith,11,11
person:marc takeno,person:n turner,11,11
person:marc takeno,person:w wong,11,11
person:jingpeng wu,person:marc takeno,11,11
person:h sebastian seung,person:marc takeno,11,11
person:m castro,person:r torres,11,11
person:akhilesh halageri,person:r torres,11,11
person:r torres,person:zhi ming jia,11,11
person:kai li,person:r torres,11,11
person:eric mitchell,person:r torres,11,11
person:r torres,person:s mondal,11,11
person:r torres,person:shang mu,11,11
person:barak nehoran,person:r torres,11,11
person:sven dorkenwald,person:wenjie yin,11,11
person:akhilesh halageri,person:wenjie yin,11,11
person:wenjie yin,person:zhi ming jia,11,11
person:c jordan,person:wenjie yin,11,11
person:n kemnitz,person:wenjie yin,11,11
person:kea joo lee,person:wenjie yin,11,11
person:kai li,person:wenjie yin,11,11
person:rongwen lu,person:wenjie yin,11,11
person:t macrina,person:wenjie yin,11,11
person:eric mitchell,person:wenjie yin,11,11
person:s mondal,person:wenjie yin,11,11
person:shang mu,person:wenjie yin,11,11
person:barak nehoran,person:wenjie yin,11,11
person:s popovych,person:wenjie yin,11,11
person:w silversmith,person:wenjie yin,11,11
person:n turner,person:wenjie yin,11,11
person:w wong,person:wenjie yin,11,11
person:jingpeng wu,person:wenjie yin,11,11
person:h sebastian seung,person:wenjie yin,11,11
person:j bae,person:kai li,11,11
person:j bae,person:n turner,11,11
