facet,value,era,time_role,n_working_set,n_global_core,champion_work_id,champion_doi,champion_title,champion_year,champion_in_global_core,in,out,k_core,year_cites_percentile
stage,modeling,2025,sota,23,4,work_e143e75aec23746b,nan,Rethinking scale in network neuroscience: Contributions and opportunities at the nanoscale,2025,,1,25,13,51
stage,synapses,2025,sota,9,2,work_938db2c7232708be,10.48550/arxiv.2509.17041,Towards Generalized Synapse Detection Across Invertebrate Species,2025,,1,22,13,36
stage,alignment,2025,sota,5,0,work_958be63650186414,10.1073/pnas.2505822122,"PyReconstruct: A fully open-source, collaborative successor to Reconstruct",2025,,1,21,13,76
organism,fly,2025,sota,58,13,work_8443aa3a33e10095,10.7554/elife.88824,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,2025,yes,3,29,13,73
organism,mouse,2025,sota,29,9,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
organism,zebrafish,2025,sota,3,0,work_104e54f2c4601a53,10.1101/2023.05.21.541471,A method for extracting an approximated connectome from libraries of single cell anatomical reconstructions,2025,,0,24,12,14
organism,elegans,2025,sota,14,2,work_ba57f8894b215008,10.1007/s12038-025-00513-7,C. elegans wired and wireless connectome: insights into principles of nervous system structure and function,2025,,0,18,11,73
organism,human,2025,sota,3,0,work_dac06fc9ca941af4,10.1109/hpec67600.2025.11196090,HiPerMotif: Novel Parallel Subgraph Isomorphism in Large-Scale Property Graphs,2025,,0,3,3,36
organism,other,2025,sota,8,1,work_d39313692b727a1c,10.1101/2024.03.17.585258,Whole-body connectome of a segmented annelid larva,2025,yes,5,25,13,93
dataset,DS03 Drosophila larva,2025,sota,10,2,work_104e54f2c4601a53,10.1101/2023.05.21.541471,A method for extracting an approximated connectome from libraries of single cell anatomical reconstructions,2025,,0,24,12,14
dataset,DS05 hemibrain,2025,sota,3,1,work_104e54f2c4601a53,10.1101/2023.05.21.541471,A method for extracting an approximated connectome from libraries of single cell anatomical reconstructions,2025,,0,24,12,14
dataset,DS15 zebrafish,2025,sota,3,0,work_104e54f2c4601a53,10.1101/2023.05.21.541471,A method for extracting an approximated connectome from libraries of single cell anatomical reconstructions,2025,,0,24,12,14
dataset,DS06 FlyWire,2025,sota,8,0,work_2f671ade1d1c2e2c,10.21203/rs.3.rs-6881911/v1,Sexually-dimorphic neurons in the Drosophila whole-brain connectome,2025,,0,14,10,14
dataset,DS01 C. elegans (White+),2025,sota,15,2,work_7fd39b6d64027898,10.1038/s41592-025-02929-3,SmartEM: machine-learning guided electron microscopy,2025,,0,18,13,61
dataset,DS09/DS10 mouse retina,2025,sota,4,0,work_14b6d5aa74ac49e7,10.1101/2025.04.05.647403,Connectome of a human foveal retina,2025,,1,9,9,61
dataset,DS13 MICrONS,2025,sota,13,4,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
dataset,DS14 H01 human cortex,2025,sota,2,0,work_dac06fc9ca941af4,10.1109/hpec67600.2025.11196090,HiPerMotif: Novel Parallel Subgraph Isomorphism in Large-Scale Property Graphs,2025,,0,3,3,36
dataset,DS07 VNC (FANC/MANC),2025,sota,5,4,work_e2f25ee5bf2bee47,10.1038/s41586-025-08925-z,Comparative connectomics of Drosophila descending and ascending neurons,2025,yes,11,17,12,96
dataset,DS04 FAFB,2025,sota,4,1,work_554b7819a83e2fe3,10.1101/2025.10.16.682869,Synapse Detection Efficiency in EM Drosophila Connectomics,2025,yes,2,12,10,51
dataset,DS12 L4 barrel cortex,2025,sota,1,0,work_5abec42a57c2d02e,10.1101/2024.11.18.624135,Probing circuit mechanisms of feature selectivity in mouse visual cortex through synaptic-resolution connectomics,2025,,0,16,11,14
dataset,DS19 songbird,2025,sota,3,0,work_dd535adbc096d82f,10.1101/2025.10.25.684569,The songbird basal ganglia connectome,2025,,1,8,8,51
dataset,DS22 Platynereis,2025,sota,1,1,work_d39313692b727a1c,10.1101/2024.03.17.585258,Whole-body connectome of a segmented annelid larva,2025,yes,5,25,13,93
