class,jaccard,preprint_wid,published_wid,preprint_doi,published_doi,cites_a,cites_b,cites_summed,years,title,in_working_view
near_duplicate,0.733,work_318ed7e271ad3483,work_2556ee5a75a547e1,,10.1109/jstsp.2020.3003170,9,94,103,2019/2020,Dense Recurrent Neural Networks for Accelerated MRI: History-Cognizant Unrolling of Optimization Alg,neither
near_duplicate,0.727,work_234ae94a61034e49,work_5a86e1dddea15bae,10.1016/j.wneu.2020.12.136,10.1016/j.wneu.2020.08.058,42,142,184,2021/2020,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.,neither
near_duplicate,0.727,work_187b248b70484337,work_234ae94a61034e49,10.1016/j.wneu.2021.04.050,10.1016/j.wneu.2020.12.136,196,42,238,2021/2021,Anatomy and White Matter Connections of the Parahippocampal Gyrus.,neither
near_duplicate,0.727,work_2a0b22b03d050806,work_234ae94a61034e49,10.1016/j.wneu.2021.03.045,10.1016/j.wneu.2020.12.136,102,42,144,2021/2021,Anatomy and White Matter Connections of the Parahippocampal Gyrus.,neither
near_duplicate,0.727,work_234ae94a61034e49,work_203770249483926c,10.1016/j.wneu.2020.12.136,10.1002/ca.23523,42,106,148,2021/2019,Anatomy and White Matter Connections of the Superior Frontal Gyrus,neither
near_duplicate,0.727,work_e2de51ca63225afd,work_203770249483926c,10.3171/2017.3.jns162070,10.1002/ca.23523,67,106,173,2017/2019,Anatomy and White Matter Connections of the Superior Frontal Gyrus,neither
near_duplicate,0.727,work_e2de51ca63225afd,work_5a86e1dddea15bae,10.3171/2017.3.jns162070,10.1016/j.wneu.2020.08.058,67,142,209,2017/2020,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.,neither
near_duplicate,0.727,work_295b058918128b54,work_f5fd3ba3b38fed1d,,10.1038/s41586-025-08660-5,5,12,17,2023/2025,NEURD offers automated proofreading and feature extraction for connectomics,one
near_duplicate,0.722,work_4de7e73fbde8f291,work_9f12b798032ecf3b,10.1117/1.jmi.11.1.014005,,8,2,10,2024/2023,Robust Fiber Orientation Distribution Function Estimation Using Deep Constrained Spherical Deconvolu,neither
near_duplicate,0.706,work_d2cf5ae3fcec1d76,work_1b41887b5b849c90,10.1093/ons/opy267,10.1093/ons/opy270,108,23,131,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic Description of the Vertical Occi,neither
near_duplicate,0.706,work_d2cf5ae3fcec1d76,work_ebb5cbb34f978077,10.1093/ons/opy267,10.1093/ons/opy265,108,43,151,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic Description of the Inferior Long,neither
near_duplicate,0.688,work_1b41887b5b849c90,work_b4034d2b55e4699b,10.1093/ons/opy270,10.1093/ons/opy269,23,20,43,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.688,work_c700043aaf02b71f,work_b4034d2b55e4699b,10.1093/ons/opy266,10.1093/ons/opy269,20,20,40,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.688,work_e1729e254cf16f0b,work_b4034d2b55e4699b,10.1093/ons/opy264,10.1093/ons/opy269,49,20,69,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.688,work_ebb5cbb34f978077,work_b4034d2b55e4699b,10.1093/ons/opy265,10.1093/ons/opy269,43,20,63,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.667,work_21ca1a6a685fb238,work_b4034d2b55e4699b,10.1093/ons/opy271,10.1093/ons/opy269,9,20,29,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.667,work_476ec1d0fd67465f,work_0325f64317b83966,10.2139/ssrn.3813183,10.1016/j.jpsychires.2022.03.041,0,8,8,2021/2022,Application of graph theory across multiple frequency bands in drug-naïve obsessive-compulsive disor,neither
near_duplicate,0.667,work_951fb77dafd531c1,work_bd07f974efc37587,10.1007/s13295-016-0029-z,10.1515/s13295-016-0029-z,1,0,1,2016/2016,Editorial. Computational connectomics,neither
near_duplicate,0.667,work_187b248b70484337,work_2a0b22b03d050806,10.1016/j.wneu.2021.04.050,10.1016/j.wneu.2021.03.045,196,102,298,2021/2021,Anatomy and White Matter Connections of the Middle Frontal Gyrus.,neither
near_duplicate,0.667,work_187b248b70484337,work_203770249483926c,10.1016/j.wneu.2021.04.050,10.1002/ca.23523,196,106,302,2021/2019,Anatomy and White Matter Connections of the Superior Frontal Gyrus,neither
near_duplicate,0.667,work_187b248b70484337,work_5a86e1dddea15bae,10.1016/j.wneu.2021.04.050,10.1016/j.wneu.2020.08.058,196,142,338,2021/2020,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.,neither
near_duplicate,0.667,work_2a0b22b03d050806,work_5a86e1dddea15bae,10.1016/j.wneu.2021.03.045,10.1016/j.wneu.2020.08.058,102,142,244,2021/2020,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.,neither
near_duplicate,0.667,work_203770249483926c,work_5a86e1dddea15bae,10.1002/ca.23523,10.1016/j.wneu.2020.08.058,106,142,248,2019/2020,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.,neither
near_duplicate,0.667,work_203770249483926c,work_4c75d4e8c3a1aeae,10.1002/ca.23523,10.1093/ons/opab174,106,30,136,2019/2021,Anatomy and White Matter Connections of the Superior Parietal Lobule,neither
